temperature,humidity,light,timestamp
24.5,93.0,2925,2025-12-08 07:14:44.952000+05:30
24.5,93.0,2775,2025-12-08 07:09:43.243000+05:30
24.5,93.0,2597,2025-12-08 07:04:40.291000+05:30
24.5,93.0,2311,2025-12-08 06:59:38.322000+05:30
24.5,93.0,1975,2025-12-08 06:54:36.599000+05:30
24.5,93.0,1619,2025-12-08 06:49:35.137000+05:30
24.5,93.0,1194,2025-12-08 06:44:33.274000+05:30
24.5,93.0,815,2025-12-08 06:39:30.734000+05:30
24.5,93.0,434,2025-12-08 06:34:28.906000+05:30
24.5,93.0,169,2025-12-08 06:29:26.735000+05:30
24.5,93.0,0,2025-12-08 06:24:25.038000+05:30
24.5,93.0,0,2025-12-08 06:19:22.949000+05:30
24.5,93.0,0,2025-12-08 06:14:21.274000+05:30
24.5,93.0,0,2025-12-08 06:09:19.293000+05:30
24.5,93.0,0,2025-12-08 06:04:17.509000+05:30
24.5,93.0,0,2025-12-08 05:59:15.401000+05:30
24.5,93.0,0,2025-12-08 05:54:13.414000+05:30
24.5,93.0,0,2025-12-08 05:49:11.670000+05:30
24.5,93.0,0,2025-12-08 05:44:09.684000+05:30
24.5,93.0,0,2025-12-08 05:39:07.821000+05:30
24.5,93.0,0,2025-12-08 05:34:05.850000+05:30
24.5,93.0,0,2025-12-08 05:29:03.746000+05:30
24.8,93.0,0,2025-12-08 05:24:01.547000+05:30
24.8,93.0,0,2025-12-08 05:18:59.806000+05:30
24.8,93.0,0,2025-12-08 05:13:58.196000+05:30
24.8,93.0,0,2025-12-08 05:08:56.333000+05:30
24.8,93.0,0,2025-12-08 05:03:54.374000+05:30
24.8,93.0,0,2025-12-08 04:58:52.727000+05:30
24.8,93.0,0,2025-12-08 04:53:50.817000+05:30
24.8,93.0,0,2025-12-08 04:48:48.835000+05:30
24.8,93.0,0,2025-12-08 04:43:46.763000+05:30
24.8,93.0,0,2025-12-08 04:38:44.975000+05:30
24.8,93.0,0,2025-12-08 04:33:43.096000+05:30
24.8,93.0,0,2025-12-08 04:28:41.530000+05:30
24.8,93.0,0,2025-12-08 04:23:39.822000+05:30
24.8,93.0,0,2025-12-08 04:18:38.261000+05:30
24.9,93.0,0,2025-12-08 04:13:36.649000+05:30
25.3,93.0,0,2025-12-08 04:08:34.830000+05:30
25.3,93.0,0,2025-12-08 04:03:33.027000+05:30
25.0,93.0,0,2025-12-08 03:58:30.780000+05:30
24.8,93.0,0,2025-12-08 03:53:28.978000+05:30
25.3,93.0,0,2025-12-08 03:48:27.383000+05:30
25.3,93.0,0,2025-12-08 03:43:25.526000+05:30
25.3,93.0,0,2025-12-08 03:38:23.616000+05:30
25.3,93.0,0,2025-12-08 03:33:21.633000+05:30
25.3,93.0,0,2025-12-08 03:28:19.834000+05:30
25.3,93.0,0,2025-12-08 03:23:17.806000+05:30
25.3,93.0,0,2025-12-08 03:18:15.484000+05:30
25.3,93.0,0,2025-12-08 03:13:13.640000+05:30
25.3,93.0,0,2025-12-08 03:08:11.857000+05:30
25.3,93.0,0,2025-12-08 03:03:09.158000+05:30
25.3,93.0,0,2025-12-08 02:58:07.472000+05:30
25.3,93.0,0,2025-12-08 02:53:05.400000+05:30
